rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout_status,rental_id_prev,car_id_prev,checkin_type_prev,state_prev,delay_at_checkout_in_minutes_prev,previous_ended_rental_id_prev,time_delta_with_previous_rental_in_minutes_prev,checkout_status_prev,delay_at_checkin_in_minutes,checkin_status
545320,224133,mobile,ended,20.0,,,Late,,,,,,,,,,
545333,217777,connect,canceled,,,,Unknown,,,,,,,,,,
545357,408467,mobile,ended,,,,Unknown,,,,,,,,,,
545438,393172,connect,ended,-467.0,,,In time,,,,,,,,,,
545640,312840,connect,canceled,,,,Unknown,,,,,,,,,,
545741,409096,mobile,ended,20.0,,,Late,,,,,,,,,,
545763,366310,mobile,ended,69.0,,,Late,,,,,,,,,,
545782,382901,mobile,ended,-9.0,,,In time,,,,,,,,,,
545922,409695,mobile,ended,-80.0,,,In time,,,,,,,,,,
545947,396470,mobile,ended,-44.0,,,In time,,,,,,,,,,
546024,381038,mobile,ended,163.0,,,Late,,,,,,,,,,
546150,242106,mobile,ended,-2.0,,,In time,,,,,,,,,,
546160,352528,connect,canceled,,546578.0,630.0,Unknown,546578.0,352528.0,connect,ended,-536.0,,,In time,,
546169,409274,mobile,ended,10.0,,,Late,,,,,,,,,,
546252,408509,mobile,ended,-52.0,,,In time,,,,,,,,,,
546365,384056,mobile,canceled,,,,Unknown,,,,,,,,,,
546477,383309,mobile,ended,16.0,548486.0,660.0,Late,548486.0,383309.0,mobile,ended,-3.0,,,In time,,
546484,409391,mobile,ended,92.0,,,Late,,,,,,,,,,
546491,366448,mobile,canceled,,,,Unknown,,,,,,,,,,
546564,392732,mobile,ended,7.0,,,Late,,,,,,,,,,
546738,288953,mobile,ended,,,,Unknown,,,,,,,,,,
546745,342645,connect,ended,-55.0,,,In time,,,,,,,,,,
546822,394781,mobile,ended,30.0,,,Late,,,,,,,,,,
546865,399535,mobile,ended,261.0,,,Late,,,,,,,,,,
546888,295783,connect,ended,84.0,,,Late,,,,,,,,,,
546935,348526,connect,ended,85.0,,,Late,,,,,,,,,,
546938,410452,mobile,ended,10.0,,,Late,,,,,,,,,,
546957,405122,mobile,ended,-113.0,,,In time,,,,,,,,,,
547039,409872,mobile,ended,,,,Unknown,,,,,,,,,,
547072,395489,mobile,canceled,,,,Unknown,,,,,,,,,,
547122,385574,connect,ended,-5.0,,,In time,,,,,,,,,,
547160,409344,mobile,ended,1.0,,,Late,,,,,,,,,,
547177,214635,connect,ended,-548.0,,,In time,,,,,,,,,,
547188,231676,mobile,ended,266.0,535868.0,30.0,Late,535868.0,231676.0,mobile,ended,16.0,,,Late,-14.0,In time
547198,381684,mobile,ended,145.0,,,Late,,,,,,,,,,
547223,188944,connect,ended,8.0,,,Late,,,,,,,,,,
547236,392147,mobile,ended,-8.0,,,In time,,,,,,,,,,
547348,374614,mobile,ended,74.0,,,Late,,,,,,,,,,
547557,408406,mobile,ended,126.0,,,Late,,,,,,,,,,
548028,409718,mobile,ended,15.0,,,Late,,,,,,,,,,
548177,411835,mobile,canceled,,,,Unknown,,,,,,,,,,
548215,367346,mobile,ended,-8.0,,,In time,,,,,,,,,,
548279,317330,connect,ended,-692.0,,,In time,,,,,,,,,,
548352,409458,mobile,ended,195.0,,,Late,,,,,,,,,,
548355,375311,mobile,canceled,,,,Unknown,,,,,,,,,,
548453,374241,mobile,canceled,,,,Unknown,,,,,,,,,,
548598,288973,mobile,ended,-133.0,,,In time,,,,,,,,,,
548603,363820,mobile,ended,-22.0,,,In time,,,,,,,,,,
548646,282893,mobile,ended,201.0,,,Late,,,,,,,,,,
548702,406104,mobile,ended,21.0,,,Late,,,,,,,,,,
548897,278005,mobile,ended,-307.0,,,In time,,,,,,,,,,
548904,373316,mobile,ended,-40.0,,,In time,,,,,,,,,,
548912,411521,mobile,ended,225.0,553683.0,60.0,Late,553683.0,411521.0,mobile,ended,42.0,,,Late,-18.0,In time
548973,227830,mobile,canceled,,,,Unknown,,,,,,,,,,
549047,369608,mobile,ended,-37.0,,,In time,,,,,,,,,,
